time,side,price,quantity
2025-12-30 21:24:34,BUY,88987.9,0.001
2025-12-30 21:24:34,SELL,89043.89,0.001
2025-12-30 21:24:50,BUY,89043.89,0.001
2025-12-30 21:24:50,SELL,89042.54,0.001
2025-12-30 21:25:06,BUY,89042.54,0.001
2025-12-30 21:25:06,SELL,89048.32,0.001
2025-12-30 21:25:22,BUY,89048.33,0.001
2025-12-30 21:25:22,SELL,89116.45,0.001
2025-12-30 21:25:39,BUY,89116.45,0.001
2025-12-30 21:25:39,SELL,89079.43,0.001
2025-12-30 21:25:55,BUY,89079.44,0.001
2025-12-30 21:25:55,SELL,89079.43,0.001
2025-12-30 21:26:11,BUY,89007.75,0.001
2025-12-30 21:26:11,SELL,89007.75,0.001
2025-12-30 21:26:27,BUY,89030.37,0.001
2025-12-30 21:26:27,SELL,89030.37,0.001
2025-12-30 21:26:43,BUY,89078.6,0.001
2025-12-30 21:26:43,SELL,89078.59,0.001
2025-12-30 21:26:59,BUY,89150.64,0.001
2025-12-30 21:26:59,SELL,89150.64,0.001
2025-12-30 21:27:15,BUY,89063.97,0.001
2025-12-30 21:27:15,SELL,89063.97,0.001
2025-12-30 21:27:31,BUY,89091.44,0.001
2025-12-30 21:27:31,SELL,89054.53,0.001
2025-12-30 21:27:48,BUY,89054.52,0.001
2025-12-30 21:27:48,SELL,89092.95,0.001
2025-12-30 21:28:04,BUY,89092.96,0.001
2025-12-30 21:28:04,SELL,89057.02,0.001
2025-12-30 21:28:21,BUY,89057.02,0.001
2025-12-30 21:28:21,SELL,89004.31,0.001
2025-12-30 21:28:37,BUY,89004.31,0.001
2025-12-30 21:28:37,SELL,89044.39,0.001
2025-12-30 21:28:54,BUY,89044.4,0.001
2025-12-30 21:28:54,SELL,89047.99,0.001
2025-12-30 21:29:10,BUY,89048.0,0.001
2025-12-30 21:29:10,SELL,89028.85,0.001
2025-12-30 21:29:26,BUY,89028.86,0.001
2025-12-30 21:29:26,SELL,89019.88,0.001
2025-12-30 21:29:42,BUY,89019.89,0.001
2025-12-30 21:29:42,SELL,89019.88,0.001
2025-12-30 21:29:58,BUY,89008.87,0.001
2025-12-30 21:29:58,SELL,89008.87,0.001
2025-12-30 21:30:14,BUY,89009.28,0.001
2025-12-30 21:30:14,SELL,89009.28,0.001
